source_path,label,task,domain,is_unknown,split,regime,dataset,label_name,artifact_index,artifact_key
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,3,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,4,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,5,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,6,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,9,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,10,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,13,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,17,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,18,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,20,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,21,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,24,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,26,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,5,classification,cifar10,false,calibration,closed-id,cifar10,dog,27,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,28,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,0,classification,cifar10,false,calibration,closed-id,cifar10,airplane,29,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,0,classification,cifar10,false,calibration,closed-id,cifar10,airplane,30,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,32,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,33,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,34,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,0,classification,cifar10,false,calibration,closed-id,cifar10,airplane,35,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,36,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,38,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,39,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,5,classification,cifar10,false,calibration,closed-id,cifar10,dog,40,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,41,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,42,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,44,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,45,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,46,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,47,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,48,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,0,classification,cifar10,false,calibration,closed-id,cifar10,airplane,49,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,5,classification,cifar10,false,calibration,closed-id,cifar10,dog,51,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,54,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,55,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,5,classification,cifar10,false,calibration,closed-id,cifar10,dog,56,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,57,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,58,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,59,data
/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,60,data
