index,beam_index,camera_exists,mmwave_exists,unit1_gps_exists,unit2_gps_exists,mmwave_num_values,mmwave_max_power,mmwave_mean_power,unit2_pdop,unit2_hdop,unit2_num_sat,unit2_fix_type
1,2,True,True,True,True,64,0.05873322,0.02357889734375,1.5,0.8,17,3D
2,2,True,True,True,True,64,0.0716387,0.02433986140625,1.4,0.7,17,3D
3,2,True,True,True,True,64,0.09183583,0.026682738125,1.4,0.7,17,3D
4,2,True,True,True,True,64,0.0927606,0.02613943921875,1.4,0.7,22,3D
5,2,True,True,True,True,64,0.04410599,0.023102271562500002,1.4,0.7,22,3D
6,2,True,True,True,True,64,0.04178489,0.020516381875000003,1.4,0.7,12,3D
7,2,True,True,True,True,64,0.08294395,0.02394868,1.4,0.7,12,3D
8,2,True,True,True,True,64,0.10457372,0.02858922890625,1.4,0.7,12,3D
9,3,True,True,True,True,64,0.07352055,0.025558026875,1.4,0.7,17,3D
10,3,True,True,True,True,64,0.08503318,0.02616858625,1.4,0.8,17,3D
11,3,True,True,True,True,64,0.08763856,0.026922337812500002,1.4,0.7,17,3D
12,3,True,True,True,True,64,0.08218113,0.0264235203125,1.4,0.7,17,3D
13,3,True,True,True,True,64,0.08994593,0.028584147656249996,1.4,0.7,17,3D
14,4,True,True,True,True,64,0.09228434,0.02865718546875,1.4,0.7,17,3D
15,5,True,True,True,True,64,0.09276339,0.02896755890625,1.4,0.7,7,3D
16,6,True,True,True,True,64,0.11208545,0.030552558125,1.3,0.7,7,3D
17,6,True,True,True,True,64,0.11125715,0.0306345009375,1.3,0.7,12,3D
18,6,True,True,True,True,64,0.12260505,0.03212632203125,1.3,0.7,12,3D
19,6,True,True,True,True,64,0.12765706,0.03418730078125,1.3,0.7,12,3D
20,6,True,True,True,True,64,0.11446653,0.03235973484375,1.3,0.7,22,3D
21,7,True,True,True,True,64,0.12119243,0.034045277968749996,1.3,0.7,12,3D
22,7,True,True,True,True,64,0.13140441,0.0358786978125,1.3,0.7,17,3D
23,10,True,True,True,True,64,0.13753036,0.0357985796875,1.3,0.7,17,3D
24,8,True,True,True,True,64,0.12643896,0.035713796718749996,1.3,0.7,12,3D
25,10,True,True,True,True,64,0.14654675,0.0358004925,1.3,0.7,17,3D
26,10,True,True,True,True,64,0.1328911,0.034909096875,1.3,0.7,17,3D
27,10,True,True,True,True,64,0.13903069,0.035180097656250006,1.3,0.7,12,3D
28,11,True,True,True,True,64,0.14243004,0.03557705578125,1.3,0.7,22,3D
29,11,True,True,True,True,64,0.13911219,0.03628880015625,1.3,0.7,17,3D
30,13,True,True,True,True,64,0.1568317,0.0374233809375,1.3,0.7,17,3D
31,13,True,True,True,True,64,0.14788292,0.0371778315625,1.3,0.7,7,3D
32,13,True,True,True,True,64,0.1400017,0.03580480546875,1.3,0.7,12,3D
33,13,True,True,True,True,64,0.15945245,0.038253888281249995,1.3,0.7,12,3D
34,14,True,True,True,True,64,0.14285128,0.037394175937499996,1.3,0.7,12,3D
35,14,True,True,True,True,64,0.13353223,0.03660536765625,1.3,0.7,17,3D
36,16,True,True,True,True,64,0.13660643,0.0362218778125,1.3,0.7,22,3D
37,16,True,True,True,True,64,0.1495869,0.037983558125000004,1.3,0.7,17,3D
38,16,True,True,True,True,64,0.15917435,0.039294789218749994,1.3,0.7,17,3D
39,16,True,True,True,True,64,0.19263196,0.04144555609375,1.3,0.7,12,3D
40,17,True,True,True,True,64,0.17125522,0.0409750953125,1.3,0.7,17,3D
41,17,True,True,True,True,64,0.17732826,0.04154376140625,1.3,0.7,17,3D
42,17,True,True,True,True,64,0.16067451,0.041033804374999996,1.3,0.7,17,3D
43,17,True,True,True,True,64,0.14791711,0.040601380390625004,1.3,0.7,7,3D
44,18,True,True,True,True,64,0.15005903,0.040244040781250004,1.3,0.7,22,3D
45,19,True,True,True,True,64,0.1466824,0.04026304703125,1.3,0.7,17,3D
46,20,True,True,True,True,64,0.14734426,0.0400312721875,1.3,0.7,12,3D
47,20,True,True,True,True,64,0.14657417,0.03910576796875,1.3,0.7,17,3D
48,20,True,True,True,True,64,0.14916453,0.038739885625,1.3,0.7,17,3D
49,20,True,True,True,True,64,0.16625117,0.03919574375,1.3,0.7,12,3D
50,20,True,True,True,True,64,0.141412,0.0372450959375,1.3,0.7,17,3D
51,20,True,True,True,True,64,0.14370462,0.035736185000000004,1.3,0.7,12,3D
52,20,True,True,True,True,64,0.13725606,0.0350705984375,1.3,0.7,17,3D
53,20,True,True,True,True,64,0.14717814,0.036497629687500005,1.3,0.7,12,3D
54,20,True,True,True,True,64,0.14204855,0.03644220390625,1.3,0.7,17,3D
55,20,True,True,True,True,64,0.16160411,0.03844257328125,1.3,0.7,17,3D
56,20,True,True,True,True,64,0.15126386,0.03806980859375,1.3,0.7,17,3D
57,21,True,True,True,True,64,0.15526113,0.03955126515625,1.3,0.7,17,3D
58,21,True,True,True,True,64,0.14501809,0.036740840625,1.3,0.7,17,3D
59,21,True,True,True,True,64,0.16291605,0.038577040468750004,1.3,0.7,22,3D
60,21,True,True,True,True,64,0.16732883,0.0402524025,1.3,0.7,17,3D
61,21,True,True,True,True,64,0.15091448,0.039209984062499995,1.3,0.7,12,3D
62,21,True,True,True,True,64,0.16241178,0.038919521093750006,1.4,0.7,22,3D
63,22,True,True,True,True,64,0.15381791,0.037574987343750005,1.4,0.8,12,3D
